Country Code,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Agricultural land (% of land area),"Air transport, passengers carried",Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",Exports of goods and services (% of GDP),GDP (constant 2015 US$),"Life expectancy at birth, total (years)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
AFE,20.773626671563328,48.10360869176264,96.18144230610564,46.48577931358697,24057585.264,92.28638644957093,8.036899040197191,25.85078373241284,1005450673749.0502,62.45458964538636,8.30393895237642
AFG,35.4,97.7,82.565,58.741548226852494,293212.994,81.31976318,7.344,14.34215279753703,16345202647.52468,61.982,12.075
AGO,50.0,48.2238540649414,138.402,36.81479104836769,311488.0,64.16342163,8.009,47.74527597833848,82375342061.41359,61.643,15.8
ALB,83.7,100.0,14.517,41.47189781021898,193259.0,464.74285889,11.325,31.30916075915586,13656576505.566504,76.463,12.59
ARG,99.9,100.0,39.065,43.1023461553921,6708097.0,1044.77270508,8.955,17.996587944179502,570058627079.2487,75.39,8.74
ARM,98.4,100.0,18.511,58.82753775904461,179200.0,613.0,13.007,35.906439990126685,12633615899.589771,72.043,10.01
AUS,100.0,100.0,8.096,47.25923749548233,24572955.0,7055.36816406,6.7,21.976819389717367,1521231998735.2102,83.3,5.12
AUT,100.0,100.0,5.521,31.476725642268537,18901048.0,6505.0,10.3,55.95183730231722,402871331324.59735,81.19024390243904,6.46
AZE,98.3,100.0,40.079,57.84150030248034,1102455.0,249.0,7.6,46.488747167479225,54190732985.912254,69.366,6.04
BEL,100.0,100.0,5.33,45.101387054161165,5404284.479,5680.23144531,9.7,87.9241729562522,501246968574.7263,81.79024390243904,6.26
BFA,11.7,18.9506874084473,110.509,46.56432748538012,112940.0,56.95098114,8.958,32.888543802046506,16319556729.237787,59.27,5.36
BGD,26.5,98.9910278320313,75.496,77.34501037105323,3750753.0,57.93856812,5.68,10.662778900413372,285269339141.04553,72.381,5.246
BHR,100.0,100.0,8.676,10.253164556962028,1840268.0,1146.47277832,2.479,89.68125995935702,34250930436.94577,78.76,1.548
BHS,100.0,100.0,25.686,1.2987012987012987,1065149.134,1961.67785645,8.986,28.78482945279156,10856087752.703924,71.598,11.579
BLR,99.6,100.0,11.85,40.27593003202759,1040730.0,468.0,16.544,70.83203772070172,60073780097.18024,72.37068292682928,3.9
BLZ,83.0,97.6921463012695,57.127,7.97895659798334,670361.821,310.19500732,6.353,47.66058995442155,2307742191.2964907,70.47,10.16
BOL,88.3,98.5562286376953,63.792,35.18819089818149,4311879.56,272.95922852,9.945,27.825345909559974,36986126812.54247,63.63,5.09
BRA,96.5,99.4621200561523,45.2,28.63909446360075,61896523.0,761.26776123,8.326,19.56167735677249,1847863165699.6045,72.75,13.16
BRN,100.0,100.0,9.978,2.5426944971537004,27881.0,693.40557861,5.211,80.16891080845369,13215626906.16552,74.642,4.91
BTN,87.0,100.0,18.977,13.450445726271631,22380.0,120.43117523,6.477,29.198741712607497,2326579651.3446407,71.815,4.8
BWA,65.7,73.7259063720703,49.324,45.633723289749966,172017.0,457.46298218,9.461,41.9418896379329,16553326592.328217,61.141,23.11
CAN,100.0,100.0,6.978,6.484576786100334,24951000.0,6470.06787109,8.2,31.21635295533829,1696305710720.037,81.5870731707317,7.53
CEB,100.0,99.9864361944448,19.06289929198578,46.18865433788542,30389422.0,1389.8830740529822,15.39580823304459,63.65408429505829,1566280302858.535,74.79740140104506,4.485440064390847
CHE,100.0,100.0,2.212,37.94969226489846,10988881.272,10897.45019531,8.2,71.28755617636114,770529214794.4136,83.75121951219514,5.1
CHL,100.0,100.0,24.082,14.25027705599759,10302876.0,1518.04003906,7.426,31.97966768803237,274719214659.4484,78.944,9.28
CHN,83.2,100.0,11.048,55.46264942944396,440301216.0,670.5145874,7.18,19.94397383096929,15851276922881.754,78.211,4.55
CIV,31.7,71.136848449707,104.968,73.89937106918238,569309.0,81.86914825,9.001,22.5897743997414,64116458097.0154,58.598,2.713
CMR,22.8,65.4467086791992,110.378,20.625753633305838,177992.0,63.78601837,8.582,16.515540822614955,38854942334.57685,60.333,4.145
COD,4.3,20.7681865692139,108.962,14.952471273240556,392102.214,22.32123756,9.7,40.38582956518699,48065880294.850365,59.193,5.508
COG,35.6,49.6572036743164,103.633,31.26793557833089,157784.0,80.5149231,7.063,52.83657206156443,10027290229.260036,63.519,22.622
COL,93.3,99.9991073608398,59.034,38.50202794051374,26167360.0,557.53948975,7.735,16.32829833655602,330935176579.2155,72.83,13.9
CPV,81.8,95.5214157104492,55.228,19.6029776674938,76354.068,247.90794373,6.028,24.530285064781918,1769857456.547016,74.052,14.091
CRI,95.9,100.0,37.148,35.4680767724246,669298.0,948.92163086,7.192,36.17635702688752,66522107767.67216,77.023,15.14
CYP,100.0,100.0,6.827,13.32628787878788,103016.0,2990.0,7.257,89.40908943208801,26559339984.97388,81.203,7.51
CZE,100.0,100.0,9.709,45.73056051142403,1418032.0,2498.51660156,13.3,72.72823409563743,211013852329.8949,77.2219512195122,2.8
DEU,100.0,100.0,7.465,47.48561779100719,33073180.0,6626.00488281,12.3,47.27952010394062,3569113619670.709,80.79024390243903,3.64
DOM,91.5,98.1,65.629,51.10349035366393,69447.0,416.89974976,6.678,21.752702080816658,93508047621.06548,72.615,7.7
DZA,99.7,99.7878265380859,11.714,17.347004145287,1949936.0,204.56661987,4.546,26.73454321468525,174032962144.94217,76.377,13.729
EAP,79.68435297353744,97.96221483062774,21.67772541299705,48.82538262974743,516080253.789,515.7378717941896,7.654664772656572,23.460450695534327,18598970825202.75,75.54329129768429,4.128366909477313
EAR,68.38533154120324,95.27369825862556,35.861630805585044,40.05406173512433,373606823.4280001,190.76970751994708,8.302286527545514,25.948697898475576,12153420437887.99,68.46604059199917,6.6479446186176
EAS,81.54522823259899,98.1558881610248,20.248904990034134,47.47085115304753,632631258.5079999,876.0156271121366,7.818560601043574,29.076565924002296,27933291392744.566,76.39322103240954,4.061667886811467
ECA,84.70366654787345,99.97139623919824,18.743549887055632,27.518700956981498,185369138.262,590.2594197852966,12.516946532544935,34.36640913448824,3453731078719.636,71.609213222629,7.134876403702204
ECS,93.4259154779031,99.9875907723602,13.55601788660378,29.01049456606385,524360548.47700006,2870.091212138974,11.858548015310836,45.98682533263228,22483470803048.688,76.67162028935665,6.871953064954982
ECU,94.7,100.0,63.163,22.024480592688032,1534854.0,494.30838013,6.719,26.1883645351699,97753879511.9558,73.67,4.55
EGY,99.9,100.0,44.767,4.049424883218645,5563387.0,179.68119812,6.327,10.56115021536522,425777537421.99646,70.221,7.44
EMU,100.0,100.0,7.09867390478836,42.76336774442912,252461520.31,4787.389914062524,11.114428374456311,49.46818716350413,12613108847848.148,81.59494668855586,7.728223574635384
ESP,100.0,100.0,6.281,52.4848941208322,43440479.727,3234.29296875,9.5,34.176422943818565,1251378537358.9834,83.22926829268293,14.78
ETH,7.5,54.1884155273438,69.221,34.19810622238375,7065954.0,26.47735214,6.776,7.631701644588927,100435279209.68053,64.975,3.93
EUU,100.0,99.99692393575828,9.228037303943095,40.76177146175416,300510412.943,4215.433201939925,11.865467578645712,50.509147305578026,14772660054167.79,80.31661306060026,7.020915539701685
FIN,100.0,100.0,4.159,7.461810041661773,2805555.0,5488.0,10.4,39.47754763348546,255804854010.93744,81.88536585365854,7.61
